序号,字,拼音,组词1,组词1拼音,组词2,组词2拼音,备注
1375,犹,yóu,犹太人,yóu tài rén,犹太,yóu tài,
1376,荷,hé / hè,荷兰,hé lán,负荷,fù hè,
1377,哭,kū,大哭,dà kū,痛哭,tòng kū,
1378,储,chǔ,储存,chǔ cún,存储,cún chǔ,
1379,揭,jiē,揭露,jiē lù,揭开,jiē kāi,
1380,踪,zōng,失踪,shī zōng,跟踪,gēn zōng,
1381,胞,bāo,细胞,xì bāo,同胞,tóng bāo,
1382,邻,lín,邻居,lín jū,邻近,lín jìn,
1383,驾,jià,驾车,jià chē,驾照,jià zhào,
1384,庄,zhuāng,村庄,cūn zhuāng,庄园,zhuāng yuán,
1385,役,yì,战役,zhàn yì,奴役,nú yì,
1386,隶,lì,奴隶,nú lì,隶属,lì shǔ,
1387,怒,nù,激怒,jī nù,怒火,nù huǒ,
1388,液,yè,血液,xuè yè,液体,yè tǐ,
1389,堡,bǎo / bǔ / pù,城堡,chéng bǎo,汉堡,hàn bǎo,
1390,姑,gū,姑娘,gū niáng,姑姑,gū gū,
1391,猜,cāi,猜测,cāi cè,猜想,cāi xiǎng,
1392,颜,yán,颜色,yán sè,颜料,yán liào,
1393,巧,qiǎo,技巧,jì qiǎo,巧克力,qiǎo kè lì,
1394,插,chā,插入,chā rù,插图,chā tú,
1395,账,zhàng,账号,zhàng hào,账户,zhàng hù,
1396,幼,yòu,幼儿园,yòu ér yuán,幼儿,yòu ér,
1397,赖,lài,依赖,yī lài,信赖,xìn lài,
1398,墨,mò,墨西哥,mò xī gē,墨水,mò shuǐ,
1399,皆,jiē,皆然,jiē rán,,,
1400,润,rùn,利润,lì rùn,净利润,jìng lì rùn,
1401,辩,biàn,辩论,biàn lùn,辩护,biàn hù,
1402,裂,liè,分裂,fēn liè,破裂,pò liè,
1403,敬,jìng,尊敬,zūn jìng,致敬,zhì jìng,
1404,娜,nà / nuó,安娜,ān nà,米娜,mǐ nà,
1405,尝,cháng,尝试,cháng shì,品尝,pǐn cháng,
1406,忽,hū,忽视,hū shì,忽略,hū lüè,
1407,返,fǎn,返回,fǎn huí,重返,chóng fǎn,
1408,虎,hǔ,老虎,lǎo hǔ,马虎,mǎ hǔ,
1409,凡,fán,凡是,fán shì,平凡,píng fán,
1410,筹,chóu,筹备,chóu bèi,统筹,tǒng chóu,
1411,厌,yàn,讨厌,tǎo yàn,厌恶,yàn wù,
1412,秒,miǎo,一秒,yī miǎo,秒钟,miǎo zhōng,
1413,颗,kē,一颗,yī kē,两颗,liǎng kē,
1414,吓,xià / hè,恐吓,kǒng hè,吓坏,xià huài,
1415,腿,tuǐ,大腿,dà tuǐ,双腿,shuāng tuǐ,
1416,焦,jiāo,焦点,jiāo diǎn,焦虑,jiāo lǜ,
1417,辞,cí,辞职,cí zhí,辞去,cí qù,
1418,盗,dào,海盗,hǎi dào,强盗,qiáng dào,
1419,彼,bǐ,彼此,bǐ cǐ,彼得,bǐ dé,
1420,幻,huàn,幻想,huàn xiǎng,梦幻,mèng huàn,
1421,扎,zhā / zā / zhá,扎实,zhā shí,驻扎,zhù zhā,
1422,董,dǒng,董事,dǒng shì,董事会,dǒng shì huì,
1423,疆,jiāng,边疆,biān jiāng,疆域,jiāng yù,
1424,绕,rào,围绕,wéi rào,环绕,huán rào,
1425,碰,pèng,碰到,pèng dào,碰上,pèng shàng,
1426,豪,háo,豪华,háo huá,自豪,zì háo,
1427,穷,qióng,贫穷,pín qióng,穷人,qióng rén,
1428,燃,rán,燃料,rán liào,燃烧,rán shāo,
1429,疫,yì,疫情,yì qíng,免疫,miǎn yì,
1430,滑,huá,下滑,xià huá,滑雪,huá xuě,
1431,尾,wěi / yǐ,尾巴,wěi ba,结尾,jié wěi,
1432,骚,sāo,骚扰,sāo rǎo,骚乱,sāo luàn,
1433,挺,tǐng,挺进,tǐng jìn,挺身,tǐng shēn,
1434,睛,jīng,眼睛,yǎn jīng,点睛,diǎn jīng,
1435,偿,cháng,补偿,bǔ cháng,偿还,cháng huán,
1436,剑,jiàn,宝剑,bǎo jiàn,刀剑,dāo jiàn,
1437,秋,qiū,春秋,chūn qiū,秋天,qiū tiān,
1438,轨,guǐ,轨道,guǐ dào,轨迹,guǐ jì,
1439,叙,xù,叙述,xù shù,叙利亚,xù lì yà,
1440,凭,píng,凭借,píng jiè,文凭,wén píng,
1441,酸,suān,酸性,suān xìng,酸奶,suān nǎi,
1442,尺,chǐ / chě,尺度,chǐ dù,公尺,gōng chǐ,
1443,敦,dūn,伦敦,lún dūn,敦促,dūn cù,
1444,沟,gōu,沟通,gōu tōng,水沟,shuǐ gōu,
1445,玉,yù,玉米,yù mǐ,宝玉,bǎo yù,
1446,梅,méi,梅花,méi huā,梅尔,méi ěr,
1447,剂,jì,剂量,jì liàng,调剂,tiáo jì,
1448,糖,táng,糖果,táng guǒ,血糖,xuè táng,
1449,驱,qū,驱动,qū dòng,驱逐,qū zhú,
1450,珠,zhū,珠宝,zhū bǎo,明珠,míng zhū,
1451,践,jiàn,实践,shí jiàn,践行,jiàn xíng,
1452,驶,shǐ,驾驶,jià shǐ,行驶,xíng shǐ,
1453,脏,zàng / zāng,心脏,xīn zàng,心脏病,xīn zàng bìng,
1454,递,dì,传递,chuán dì,快递,kuài dì,
1455,箱,xiāng,冰箱,bīng xiāng,邮箱,yóu xiāng,
1456,悉,xī,熟悉,shú xī,据悉,jù xī,
1457,君,jūn,君主,jūn zhǔ,君子,jūn zǐ,
1458,哲,zhé,哲学,zhé xué,哲学家,zhé xué jiā,
1459,刷,shuā / shuà,印刷,yìn shuā,刷新,shuā xīn,
1460,屁,pì,屁股,pì gǔ,屁眼,pì yǎn,
1461,孕,yùn,怀孕,huái yùn,孕妇,yùn fù,
1462,仰,yǎng,信仰,xìn yǎng,仰望,yǎng wàng,
1463,兽,shòu,野兽,yě shòu,怪兽,guài shòu,
1464,穆,mù,穆斯林,mù sī lín,穆斯,mù sī,
1465,孤,gū,孤独,gū dú,孤立,gū lì,
1466,晨,chén,早晨,zǎo chén,清晨,qīng chén,
1467,梁,liáng,桥梁,qiáo liáng,梁家,liáng jiā,
1468,肥,féi,减肥,jiǎn féi,肥料,féi liào,
1469,厉,lì,厉害,lì hài,严厉,yán lì,
1470,腊,là / xī,希腊,xī là,腊肉,là ròu,
1471,隆,lóng / lōng,干隆,gàn lóng,隆重,lóng zhòng,
1472,凯,kǎi,凯尔,kǎi ěr,凯斯,kǎi sī,
1473,覆,fù,覆盖,fù gài,反覆,fǎn fù,
1474,辛,xīn,辛苦,xīn kǔ,辛劳,xīn láo,
1475,绘,huì,绘画,huì huà,描绘,miáo huì,
1476,纵,zòng,操纵,cāo zòng,纵然,zòng rán,
1477,池,chí,电池,diàn chí,水池,shuǐ chí,
1478,辈,bèi,一辈子,yī bèi zi,前辈,qián bèi,
1479,颁,bān,颁布,bān bù,颁发,bān fā,
1480,赌,dǔ,赌场,dú chǎng,赌博,dǔ bó,
1481,罢,bà / ba,罢了,bà le,罢工,bà gōng,
1482,惨,cǎn,悲惨,bēi cǎn,惨案,cǎn àn,
1483,肤,fū,皮肤,pí fū,肤色,fū sè,
1484,宇,yǔ,楼宇,lóu yǔ,宇航员,yǔ háng yuán,
1485,陪,péi,陪伴,péi bàn,陪同,péi tóng,
1486,恨,hèn,痛恨,tòng hèn,恨不得,hèn bù dé,
1487,酷,kù,残酷,cán kù,酷刑,kù xíng,
1488,蒂,dì,蒂姆,dì mǔ,阴蒂,yīn dì,
1489,胆,dǎn,大胆,dà dǎn,胆子,dǎn zi,
1490,吨,dūn,万吨,wàn dūn,亿吨,yì dūn,
1491,厚,hòu,深厚,shēn hòu,厚度,hòu dù,
1492,骂,mà,骂人,mà rén,责骂,zé mà,
1493,袋,dài,脑袋,nǎo dài,口袋,kǒu dài,
1494,伸,shēn,延伸,yán shēn,伸出,shēn chū,
1495,绑,bǎng,绑架,bǎng jià,绑定,bǎng dìng,
1496,甘,gān,甘心,gān xīn,甘愿,gān yuàn,
1497,巡,xún,巡视,xún shì,巡回,xún huí,
1498,帐,zhàng,帐幕,zhàng mù,营帐,yíng zhàng,
1499,咱,zán / zá,咱们,zán men,咱家,zá jiā,
1500,杨,yáng,杨家,yáng jiā,杨梅,yáng méi,
1501,盾,dùn,盾牌,dùn pái,后盾,hòu dùn,
1502,俱,jù,俱乐部,jù lè bù,俱全,jù quán,
1503,敏,mǐn,敏感,mǐn gǎn,过敏,guò mǐn,
1504,啥,shá,为啥,wèi shá,啥子,shá zi,
1505,搬,bān,搬迁,bān qiān,搬家,bān jiā,
1506,窗,chuāng,窗口,chuāng kǒu,窗户,chuāng hù,
1507,摇,yáo,动摇,dòng yáo,摇摆,yáo bǎi,
1508,滚,gǔn,摇滚,yáo gǔn,滚动,gǔn dòng,
1509,循,xún,循环,xún huán,依循,yī xún,
1510,豆,dòu,土豆,tǔ dòu,豆腐,dòu fǔ,
1511,阁,gé,内阁,nèi gé,阁下,gé xià,
1512,胸,xiōng,胸部,xiōng bù,胸口,xiōng kǒu,
1513,惜,xī,可惜,kě xī,不惜,bù xī,
1514,忠,zhōng,忠诚,zhōng chéng,忠实,zhōng shí,
1515,貌,mào,面貌,miàn mào,礼貌,lǐ mào,
1516,乔,qiáo,乔治,qiáo zhì,乔木,qiáo mù,
1517,诞,dàn,诞生,dàn shēng,圣诞,shèng dàn,
1518,横,héng / hèng,横向,héng xiàng,横跨,héng kuà,
1519,逻,luó,逻辑,luó jí,巡逻,xún luó,
1520,尸,shī,尸体,shī tǐ,死尸,sǐ shī,
1521,袖,xiù,领袖,lǐng xiù,袖子,xiù zi,
1522,魂,hún,灵魂,líng hún,鬼魂,guǐ hún,
1523,拔,bá,海拔,hǎi bá,选拔,xuǎn bá,
1524,愈,yù,治愈,zhì yù,愈来愈,yù lái yù,
1525,撞,zhuàng,碰撞,pèng zhuàng,撞击,zhuàng jī,
1526,吹,chuī,鼓吹,gǔ chuī,吹牛,chuī niú,
1527,舍,shě / shè,舍得,shě de,舍弃,shě qì,
1528,浙,zhè,浙江省,zhè jiāng shěng,,,
1529,奏,zòu,节奏,jié zòu,演奏,yǎn zòu,
1530,舒,shū,舒服,shū fú,舒适,shū shì,
1531,丈,zhàng,丈夫,zhàng fū,丈母娘,zhàng mǔ niáng,
1532,拖,tuō,拖延,tuō yán,拖累,tuō lěi,
1533,遵,zūn,遵守,zūn shǒu,遵循,zūn xún,
1534,闪,shǎn,闪电,shǎn diàn,闪亮,shǎn liàng,
1535,珍,zhēn,珍贵,zhēn guì,珍惜,zhēn xī,
1536,洁,jié,清洁,qīng jié,简洁,jiǎn jié,
1537,嘉,jiā,嘉宾,jiā bīn,嘉年华,jiā nián huá,
1538,莉,lì,莉莉,lì lì,凯莉,kǎi lì,
1539,荡,dàng,动荡,dòng dàng,震荡,zhèn dàng,
1540,贯,guàn,贯彻,guàn chè,一贯,yí guàn,
1541,暖,nuǎn,温暖,wēn nuǎn,取暖,qǔ nuǎn,
1542,墓,mù,墓地,mù dì,古墓,gǔ mù,
1543,渡,dù,过渡,guò dù,渡过,dù guò,
1544,闲,xián,休闲,xiū xián,闲置,xián zhì,
1545,扫,sǎo / sào,扫描,sǎo miáo,打扫,dá sǎo,
1546,脉,mài / mò,山脉,shān mài,脉冲,mài chōng,
1547,丧,sàng / sāng,丧失,sàng shī,丧生,sàng shēng,
1548,虫,chóng,虫子,chóng zi,幼虫,yòu chóng,
1549,伪,wěi,伪造,wěi zào,虚伪,xū wěi,
1550,闹,nào,热闹,rè nào,胡闹,hú nào,
1551,跃,yuè,活跃,huó yuè,飞跃,fēi yuè,
1552,壁,bì,隔壁,gé bì,墙壁,qiáng bì,
1553,冬,dōng,冬天,dōng tiān,冬季,dōng jì,
1554,鉴,jiàn,鉴定,jiàn dìng,鉴于,jiàn yú,
1555,奉,fèng,奉献,fèng xiàn,信奉,xìn fèng,
1556,忧,yōu,担忧,dān yōu,忧虑,yōu lǜ,
1557,欣,xīn,欣赏,xīn shǎng,欣喜,xīn xǐ,
1558,碎,suì,碎片,suì piàn,粉碎,fěn suì,
1559,仔,zǎi / zǐ / zī,仔细,zǐ xì,牛仔,niú zǎi,
1560,嫌,xián,涉嫌,shè xián,嫌犯,xián fàn,
1561,咖,kā / gā,咖啡,kā fēi,咖啡馆,kā fēi guǎn,
1562,牲,shēng,牲口,shēng kǒu,三牲,sān shēng,
1563,锋,fēng,先锋,xiān fēng,前锋,qián fēng,
1564,泪,lèi,眼泪,yǎn lèi,泪水,lèi shuǐ,
1565,乳,rǔ,乳房,rǔ fáng,乳头,rǔ tóu,
1566,戒,jiè,警戒,jǐng jiè,戒指,jiè zhǐ,
1567,荒,huāng,荒唐,huāng táng,荒废,huāng fèi,
1568,旋,xuán / xuàn,旋转,xuán zhuǎn,旋律,xuán lǜ,
1569,篮,lán,篮球,lán qiú,篮板,lán bǎn,
1570,肃,sù,严肃,yán sù,肃清,sù qīng,
1571,臣,chén,大臣,dà chén,功臣,gōng chén,
1572,谱,pǔ,光谱,guāng pǔ,食谱,shí pǔ,
1573,撒,sā / sǎ,撒野,sā yě,撒手,sā shǒu,
1574,吻,wěn,亲吻,qīn wěn,接吻,jiē wěn,
1575,雇,gù,雇主,gù zhǔ,解雇,jiě gù,
1576,孔,kǒng,孔子,kǒng zi,面孔,miàn kǒng,
1577,牧,mù,牧师,mù shī,牧场,mù chǎng,
1578,榜,bǎng / bàng / péng,榜样,bǎng yàng,排行榜,pái háng bǎng,
1579,腾,téng,腾讯,téng xùn,折腾,zhē teng,
1580,歉,qiàn,道歉,dào qiàn,抱歉,bào qiàn,
1581,奸,jiān,强奸,qiáng jiān,汉奸,hàn jiān,
1582,泡,pào / pāo,泡泡,pào pào,灯泡,dēng pào,
1583,寺,sì,清真寺,qīng zhēn sì,寺院,sì yuàn,
1584,摸,mō / mó,触摸,chù mō,摸摸,mō mō,
1585,寄,jì,寄托,jì tuō,寄给,jì gěi,
1586,辅,fǔ,辅助,fǔ zhù,辅导,fǔ dǎo,
1587,葡,pú,葡萄牙,pú táo yá,葡萄,pú táo,
1588,裤,kù,裤子,kù zi,内裤,nèi kù,
1589,湿,shī,湿地,shī dì,潮湿,cháo shī,
1590,喊,hǎn,大喊,dà hǎn,呼喊,hū hǎn,
1591,诊,zhěn,诊断,zhěn duàn,诊所,zhěn suǒ,
1592,翰,hàn,约翰,yuē hàn,杨百翰,yáng bǎi hàn,
1593,丑,chǒu,丑闻,chǒu wén,小丑,xiǎo chǒu,
1594,宅,zhái,住宅,zhù zhái,豪宅,háo zhái,
1595,鞋,xié,鞋子,xié zi,拖鞋,tuō xié,
1596,磨,mó / mò,折磨,zhé mó,磨损,mó sǔn,
1597,惧,jù,恐惧,kǒng jù,惧怕,jù pà,
1598,叛,pàn,背叛,bèi pàn,叛乱,pàn luàn,
1599,岗,gǎng / gāng,岗位,gǎng wèi,下岗,xià gǎng,
1600,甜,tián,甜美,tián měi,甜点,tián diǎn,
1601,琴,qín,钢琴,gāng qín,小提琴,xiǎo tí qín,
1602,塑,sù,塑料,sù liào,塑造,sù zào,
1603,灰,huī,灰色,huī sè,骨灰,gǔ huī,
1604,泥,ní / nì,水泥,shuǐ ní,泥土,ní tǔ,
1605,姻,yīn,婚姻,hūn yīn,联姻,lián yīn,
1606,拼,pīn,拼命,pīn mìng,拼音,pīn yīn,
1607,矛,máo,矛盾,máo dùn,矛头,máo tóu,
1608,卢,lú,卢比,lú bǐ,卢布,lú bù,
1609,羊,yáng,山羊,shān yáng,羊毛,yáng máo,
1610,扣,kòu,折扣,zhé kòu,扣留,kòu liú,
1611,拆,chāi,拆除,chāi chú,拆迁,chāi qiān,
1612,愤,fèn,愤怒,fèn nù,气愤,qì fèn,
1613,锦,jǐn,锦标赛,jǐn biāo sài,集锦,jí jǐn,
1614,歧,qí,歧视,qí shì,分歧,fēn qí,
1615,宿,sù / xiǔ / xiù,宿舍,sù shè,住宿,zhù sù,
1616,炼,liàn,修炼,xiū liàn,提炼,tí liàn,
1617,耐,nài,耐心,nài xīn,忍耐,rěn nài,
1618,糟,zāo,更糟,gèng zāo,很糟,hěn zāo,
1619,轰,hōng,轰炸,hōng zhà,轰炸机,hōng zhà jī,
1620,仿,fǎng,模仿,mó fǎng,仿佛,fǎng fú,
1621,晋,jìn,晋升,jìn shēng,晋级,jìn jí,
1622,昌,chāng,昌盛,chāng shèng,昌明,chāng míng,
1623,煤,méi,煤矿,méi kuàng,煤气,méi qì,
1624,帅,shuài,帅哥,shuài gē,元帅,yuán shuài,
1625,洪,hóng,洪水,hóng shuǐ,洪灾,hóng zāi,
1626,泉,quán,温泉,wēn quán,源泉,yuán quán,
1627,稍,shāo / shào,稍微,shāo wēi,稍后,shāo hòu,
1628,啡,fēi,咖啡,kā fēi,咖啡馆,kā fēi guǎn,
1629,尖,jiān,顶尖,dǐng jiān,尖叫,jiān jiào,
1630,瓜,guā,西瓜,xī guā,南瓜,nán guā,
1631,汤,tāng / shāng,鸡汤,jī tāng,泡汤,pào tāng,
1632,邓,dèng,邓小平,dèng xiǎo píng,邓肯,dèng kěn,
1633,淡,dàn,淡水,dàn shuǐ,淡化,dàn huà,
1634,勤,qín,后勤,hòu qín,勤劳,qín láo,
1635,崇,chóng,崇拜,chóng bài,推崇,tuī chóng,
1636,番,fān / pān,一番,yì fān,番号,fān hào,
1637,捐,juān,捐款,juān kuǎn,捐助,juān zhù,
1638,贪,tān,贪污,tān wū,贪腐,tān fǔ,
1639,咨,zī,咨询,zī xún,咨文,zī wén,
1640,邪,xié,邪恶,xié è,邪教,xié jiào,
1641,圾,jī,垃圾,lā jī,垃圾桶,lā jī tǒng,
1642,垃,lā,垃圾,lā jī,垃圾箱,lā jī xiāng,
1643,迈,mài,迈进,mài jìn,迈向,mài xiàng,
1644,劲,jìn / jìng,强劲,qiáng jìng,使劲,shǐ jìn,
1645,壮,zhuàng,壮大,zhuàng dà,壮观,zhuàng guān,
1646,猎,liè,猎人,liè rén,猎物,liè wù,
1647,欺,qī,欺骗,qī piàn,欺负,qī fù,
1648,烂,làn,腐烂,fǔ làn,破烂,pò làn,
1649,廷,tíng,朝廷,cháo tíng,阿根廷,ā gēn tíng,
1650,辱,rǔ,辱骂,rǔ mà,受辱,shòu rǔ,
1651,郑,zhèng,郑重,zhèng zhòng,,,
1652,辽,liáo,辽西,liáo xī,辽远,liáo yuǎn,
1653,振,zhèn,振兴,zhèn xīng,振动,zhèn dòng,
1654,仁,rén,拜仁,bài rén,同仁,tóng rén,
1655,萄,táo,葡萄牙,pú táo yá,葡萄,pú táo,
1656,饿,è,饿死,è sǐ,饿鬼,è guǐ,
1657,箭,jiàn,火箭,huǒ jiàn,射箭,shè jiàn,
1658,割,gē,分割,fēn gē,切割,qiē gē,
1659,扮,bàn,扮演,bàn yǎn,打扮,dǎ bàn,
1660,杜,dù,杜绝,dù jué,杜塞,dù sāi,
1661,粗,cū,粗暴,cū bào,粗鲁,cū lǔ,
1662,陕,shǎn,陕西省,shǎn xī shěng,,,
1663,剥,bō / bāo,剥夺,bō duó,剥离,bō lí,
1664,牵,qiān,牵引,qiān yǐn,牵涉,qiān shè,
1665,诱,yòu,诱人,yòu rén,引诱,yǐn yòu,
1666,浓,nóng,浓度,nóng dù,浓厚,nóng hòu,
1667,宋,sòng,宋体,sòng tǐ,,,
1668,凶,xiōng,凶手,xiōng shǒu,元凶,yuán xiōng,
1669,喷,pēn / pèn,喷射,pēn shè,喷发,pēn fā,
1670,傻,shǎ,傻子,shǎ zi,傻瓜,shǎ guā,
1671,堆,duī,一堆,yī duī,堆积,duī jī,
1672,惩,chéng,惩罚,chéng fá,惩处,chéng chǔ,
1673,删,shān,删除,shān chú,删减,shān jiǎn,
1674,耗,hào,消耗,xiāo hào,耗费,hào fèi,
1675,牢,láo,坐牢,zuò láo,牢固,láo gù,
1676,妙,miào,奇妙,qí miào,巧妙,qiǎo miào,
1677,仙,xiān,神仙,shén xiān,仙女,xiān nǚ,
1678,桌,zhuō,桌子,zhuō zi,桌上,zhuō shàng,
1679,赋,fù,赋予,fù yǔ,天赋,tiān fù,
1680,撑,chēng,支撑,zhī chēng,硬撑,yìng chēng,
1681,慧,huì,智慧,zhì huì,慧眼,huì yǎn,
1682,聘,pìn,招聘,zhāo pìn,聘请,pìn qǐng,
1683,郎,láng,女郎,nǚ láng,太郎,tài láng,
1684,桃,táo,桃园,táo yuán,桃花,táo huā,
1685,胶,jiāo,塑胶,sù jiāo,胶带,jiāo dài,
1686,赔,péi,赔偿,péi cháng,索赔,suǒ péi,
1687,吴,wú,吴郭鱼,wú guō yú,,,
1688,漏,lòu,漏洞,lòu dòng,遗漏,yí lòu,
1689,赵,zhào,赵家,zhào jiā,,,
1690,遥,yáo,遥远,yáo yuǎn,遥控,yáo kòng,
1691,屠,tú,屠杀,tú shā,大屠杀,dà tú shā,
1692,翼,yì,左翼,zuǒ yì,右翼,yòu yì,
1693,御,yù,防御,fáng yù,抵御,dǐ yù,
1694,娃,wá,娃娃,wá wá,洋娃娃,yáng wá wá,
1695,屏,píng / bǐng / bīng,屏幕,píng mù,屏障,píng zhàng,
1696,跌,diē,下跌,xià diē,跌倒,diē dǎo,
1697,汗,hàn / hán,阿富汗,ā fù hàn,汗水,hàn shuǐ,
1698,乃,nǎi,乃至,nǎi zhì,乃是,nǎi shì,
1699,赫,hè,显赫,xiǎn hè,马赫,mǎ hè,
1700,糕,gāo,糟糕,zāo gāo,蛋糕,dàn gāo,
1701,稿,gǎo,投稿,tóu gǎo,手稿,shǒu gǎo,
1702,捷,jié,捷克,jié kè,捷运,jié yùn,
1703,恰,qià,恰当,qià dàng,恰好,qià hǎo,
1704,逊,xùn,亚马逊,yà mǎ xùn,逊色,xùn sè,
1705,拳,quán,拳头,quán tou,拳击,quán jī,
1706,牺,xī,牺牲,xī shēng,牺牲品,xī shēng pǐn,
1707,旨,zhǐ,宗旨,zōng zhǐ,旨在,zhǐ zài,
1708,叔,shū,叔叔,shū shū,大叔,dà shū,
1709,仇,chóu / qiú,仇恨,chóu hèn,报仇,bào chóu,
1710,霍,huò,挥霍,huī huò,霍夫,huò fū,
1711,厦,shà / xià,大厦,dà shà,航厦,háng shà,
1712,凌,líng,凌晨,líng chén,凌辱,líng rǔ,
1713,瓶,píng,一瓶,yī píng,瓶子,píng zi,
1714,晓,xiǎo,晓得,xiǎo de,知晓,zhī xiǎo,
1715,扶,fú,扶贫,fú pín,扶持,fú chí,
1716,尿,niào / suī,糖尿病,táng niào bìng,撒尿,sā niào,
1717,劫,jié,抢劫,qiǎng jié,劫持,jié chí,
1718,俩,liǎ / liǎng,他俩,tā liǎ,咱俩,zán liǎ,
1719,氏,shì / zhī,氏族,shì zú,姓氏,xìng shì,
1720,朱,zhū,朱莉,zhū lì,朱古力,zhū gǔ lì,
1721,癌,ái,癌症,ái zhèng,抗癌,kàng ái,
1722,氧,yǎng,氧气,yǎng qì,氧化,yǎng huà,
1723,胎,tāi,轮胎,lún tāi,胎儿,tāi ér,
1724,侦,zhēn,侦探,zhēn tàn,侦查,zhēn chá,
1725,厕,cè,厕所,cè suǒ,公厕,gōng cè,
1726,奔,bēn / bèn,奔跑,bēn pǎo,奔波,bēn bō,
1727,仓,cāng,仓库,cāng kù,仓储,cāng chǔ,
1728,惑,huò,诱惑,yòu huò,困惑,kùn huò,
1729,挖,wā,挖出,wā chū,开挖,kāi wā,
1730,滨,bīn,滨海,bīn hǎi,海滨,hǎi bīn,
1731,帕,pà,帕拉,pà lā,手帕,shǒu pà,
1732,廉,lián,威廉,wēi lián,廉价,lián jià,
1733,薄,báo / bó / bò,薄弱,bó ruò,薄荷,bò hé,
1734,岩,yán,岩石,yán shí,花岗岩,huā gǎng yán,
1735,栏,lán,专栏,zhuān lán,栏目,lán mù,
1736,纹,wén,指纹,zhǐ wén,条纹,tiáo wén,
1737,填,tián,填补,tián bǔ,填写,tián xiě,
1738,猛,měng,猛烈,měng liè,迅猛,xùn měng,
1739,逮,dǎi / dài,逮捕,dài bǔ,,,
1740,泳,yǒng,游泳,yóu yǒng,泳池,yǒng chí,
1741,寿,shòu,寿命,shòu mìng,长寿,cháng shòu,
1742,艰,jiān,艰难,jiān nán,艰苦,jiān kǔ,
1743,纠,jiū,纠纷,jiū fēn,纠正,jiū zhèng,
1744,昆,kūn,昆虫,kūn chóng,昆布,kūn bù,
1745,熊,xióng,熊猫,xióng māo,小熊,xiǎo xióng,
1746,谎,huǎng,谎言,huǎng yán,撒谎,sā huǎng,
1747,吁,xū / yù,呼吁,hū yù,吁请,yù qǐng,
1748,赴,fù,赶赴,gǎn fù,奔赴,bēn fù,
1749,爽,shuǎng,不爽,bù shuǎng,清爽,qīng shuǎng,
1750,薪,xīn,薪水,xīn shuǐ,月薪,yuè xīn,
1751,亏,kuī,亏损,kuī sǔn,幸亏,xìng kuī,
1752,抚,fǔ,安抚,ān fǔ,抚养,fǔ yǎng,
1753,添,tiān,添加,tiān jiā,增添,zēng tiān,
1754,削,xuē / xiāo,剥削,bō xuē,削弱,xuē ruò,
1755,浮,fú,浮现,fú xiàn,浮动,fú dòng,
1756,氛,fēn,气氛,qì fēn,氛围,fēn wéi,
1757,寸,cùn,尺寸,chǐ cùn,英寸,yīng cùn,
1758,聪,cōng,聪明,cōng míng,聪慧,cōng huì,
1759,玻,bō,玻色子,bō shái zǐ,玻璃,bō lí,
1760,挡,dǎng / dàng,阻挡,zú dǎng,挡住,dǎng zhù,
1761,粹,cuì,纯粹,chún cuì,纳粹,nà cuì,
1762,殿,diàn,宫殿,gōng diàn,圣殿,shèng diàn,
1763,吐,tǔ / tù,吐露,tǔ lù,吐口,tú kǒu,
1764,柔,róu,温柔,wēn róu,柔软,róu ruǎn,
1765,怜,lián,可怜,kě lián,怜惜,lián xī,
1766,蠢,chǔn,蠢货,chǔn huò,蠢事,chǔn shì,
1767,梯,tī,电梯,diàn tī,楼梯,lóu tī,
1768,庙,miào,寺庙,sì miào,神庙,shén miào,
1769,躲,duǒ,躲避,duǒ bì,躲开,duǒ kāi,
1770,佩,pèi,佩服,pèi fú,佩戴,pèi dài,
1771,疼,téng,疼痛,téng tòng,头疼,tóu téng,
1772,拓,tuò / tà,拓展,tuò zhǎn,开拓,kāi tuò,
1773,沃,wò,肥沃,féi wò,沃克,wò kè,
1774,渔,yú,渔业,yú yè,渔民,yú mín,
1775,井,jǐng,矿井,kuàng jǐng,水井,shuǐ jǐng,
1776,慈,cí,慈善,cí shàn,慈悲,cí bēi,
1777,抛,pāo,抛弃,pāo qì,抛开,pāo kāi,
1778,磁,cí,磁场,cí chǎng,磁带,cí dài,
1779,苗,miáo,疫苗,yì miáo,苗条,miáo tiáo,
1780,狼,láng,色狼,sè láng,狼人,láng rén,
1781,艇,tǐng,潜艇,qián tǐng,舰艇,jiàn tǐng,
1782,盐,yán,食盐,shí yán,海盐,hǎi yán,
1783,掩,yǎn,掩盖,yǎn gài,掩饰,yǎn shì,
1784,泄,xiè,泄露,xiè lòu,泄漏,xiè lòu,
1785,雕,diāo,雕像,diāo xiàng,雕塑,diāo sù,
1786,耀,yào,荣耀,róng yào,闪耀,shǎn yào,
1787,慰,wèi,安慰,ān wèi,自慰,zì wèi,
1788,杭,háng,杭州市,háng zhōu shì,杭州湾,háng zhōu wān,
1789,钻,zuān / zuàn,钻石,zuàn shí,钻研,zuān yán,
1790,倡,chàng,提倡,tí chàng,倡导,chàng dǎo,
1791,炎,yán,炎热,yán rè,发炎,fā yán,
1792,缅,miǎn,缅怀,miǎn huái,缅甸,miǎn diān,
1793,祭,jì / zhài,祭司,jì sī,祭坛,jì tán,
1794,徽,huī,徽章,huī zhāng,国徽,guó huī,
1795,婴,yīng,婴儿,yīng ér,女婴,nǚ yīng,
